runoff,PPTAVG_BASIN,DRAIN_SQKM.log,BAS_COMPACTNESS,T_AVG_BASIN,PET,ARTIFPATH_PCT,BFI_AVE,PERDUN,PERHOR,TOPWET,DEVNLCD06,FORESTNLCD06,PLANTNLCD06,AWCAVE.log,PERMAVE.log,BDAVE,OMAVE.log,WTDEPAVE,ROCKDEPAVE,NO4AVE,NO200AVE,NO10AVE,KFACT_UP,RFACT,ELEV_MEAN_M_BASIN,ELEV_MAX_M_BASIN,ELEV_MIN_M_BASIN,ELEV_MEDIAN_M_BASIN,ELEV_STD_M_BASIN,ELEV_SITE_M,RRMEAN,RRMEDIAN.log,SLOPE_PCT.log,ASPECT_DEGREES,ASPECT_NORTHNESS,ASPECT_EASTNESS
675.6,129.66,4.355425953,1.37,8.82,629.3,6.75,50,4,2.5,12.28,6,67.86,8.29,-2.120263536,1.553925203,1.39,1.202972304,3.48,56.58,78.01,36.16,71.52,0.21,149.79,154.3,244,70,154,35.7,89,0.485,-0.727738625,1.62924054,198,-0.951,-0.309
673,122.31,2.833213344,2.63,2.25,458.7,8.98,47.6,4,3.8,10.11,1.02,88.97,0,-1.660731207,0.488580015,1.27,1.022450928,3.89,51.07,77.56,53.58,72.74,0.24,92.45,644,955,515,626,84.1,517,0.293,-1.378326191,2.351375257,145.8,-0.827,0.562
672.9,119.03,6.393590754,1.65,4.41,512.9,5.3,48.3,2.9,1.1,10.79,1.34,90.11,0.46,-2.040220829,1.373715579,1.36,0.609765572,4.12,52.37,78.6,36.43,71.07,0.22,97.55,577.8,1257,280,554,186.8,289,0.305,-1.272965676,2.708050201,69.4,0.352,0.936
642.9,119.33,5.273512248,2.09,4.52,519.5,1.43,47.1,2.3,1.8,10.88,0.77,90.4,0.16,-1.771956842,0.858661619,1.29,0.131028262,3.91,44.42,83.27,44.7,77.05,0.32,90.34,542.3,1043,335,534,134.1,352,0.293,-1.26940061,2.533696814,202.2,-0.926,-0.377
642.9,113.42,5.812038793,1.47,4.9,533,2.82,46.9,2.2,1.9,11.16,3.1,86,3.36,-1.832581464,0.824175443,1.34,0.039220713,3.91,46.09,82.98,44.69,76.46,0.3,85.26,477.3,1043,187,451,142.7,188,0.339,-1.177655496,2.525728644,203.4,-0.918,-0.396
642,116.72,2.312535424,2.43,3.8,495.3,0,45.9,2,4,9.95,2.97,81.68,13.86,-2.040220829,0.254642218,1.43,0.488580015,3.72,48.45,82.67,51.56,76.7,0.29,90.09,505.2,736,350,495,86.9,353,0.402,-0.978166136,2.406945108,102.2,-0.211,0.978
642,107.24,4.710430697,3.02,4.48,516,0,46.3,2,3.8,10.88,5.15,77.18,14.53,-2.040220829,0.444685821,1.4,0.524728529,3.62,49.33,84.03,50.83,77.95,0.28,82.62,408.6,739,196,396,97.8,223,0.392,-0.999672341,2.341805806,90,0,1
674.5,139.2,5.431973751,2.04,4.08,493.6,0,47,1.9,0.4,10.19,3.95,90.75,0,-1.714798428,1.456286733,1.21,1.033184483,4.58,46.02,78.08,40.62,72.5,0.24,132.92,754.5,1912,364,700,260.4,365,0.252,-1.527857925,2.954910279,280.3,0.179,-0.984
673.2,112.53,6.933715381,1.46,5.22,535.2,2.52,47.8,2.1,0.2,10.61,4.93,86.72,2.95,-2.040220829,1.556037136,1.33,0.693147181,4.33,48.99,78.14,36.39,71.05,0.21,95.14,517.4,1912,138,442,251,152,0.214,-1.766091722,2.701361213,290.3,0.346,-0.938
568.1,109.6,5.506550305,1.92,4.99,529.4,9.72,48.4,2,1.9,11.05,3.93,83.19,6.06,-1.897119985,0.932164081,1.3,1.297463147,3.62,52.11,87.21,46.84,81.01,0.25,79.38,415.6,1023,143,404,120.3,147,0.31,-1.21402314,2.415913778,59.1,0.514,0.858
567.7,116.16,3.126760536,3.13,4.8,518.9,1.65,49.4,2,2.1,9.67,2.49,93.72,1.63,-2.040220829,0.985816795,1.32,0.609765572,4.36,48.93,87.2,46.27,81.21,0.26,81.32,550.2,731,358,551,77.4,358,0.515,-0.659712404,2.890371758,105.3,-0.264,0.965
548,107.91,2.509599262,2.08,6.26,564,0,46.5,2,1,9.43,2.28,88.57,7.31,-1.966112856,1.131402111,1.38,-0.061875404,4.6,40.29,80.81,47.56,73.27,0.23,83.54,448.6,698,309,437,75.1,315,0.359,-1.111697528,2.493205453,257.6,-0.214,-0.977
641.8,108.16,4.409155302,2.88,5.5,542.4,0.77,47.8,2,2.9,10.58,6.17,72.78,17.23,-1.966112856,0.850150929,1.33,0.693147181,3.67,49.1,86.6,48.7,80.27,0.27,81.27,414.6,702,196,419,109.7,212,0.432,-0.818710404,2.701361213,129.6,-0.638,0.77
641.6,118.41,7.490082624,2.2,5.54,542.4,3.98,48.7,1.9,2.2,10.57,4.26,83.76,8.34,-1.897119985,0.982078472,1.32,0.322083499,4.09,46.91,85.04,46.38,78.73,0.28,89.72,446.5,1143,113,433,154.6,118,0.324,-1.167962367,2.884800713,119.6,-0.495,0.869
551.9,110.16,5.338018733,1.96,6.06,555,6.58,48.2,1.8,0,11.01,2.5,85.9,2.58,-2.207274913,1.593308531,1.36,0.845868268,4.21,52.6,76.77,32.19,68.75,0.19,87.51,424.5,973,259,395,112.6,252,0.232,-1.660731207,2.302585093,227.7,-0.674,-0.739
695.1,142.41,4.11414719,2.97,5.15,519.6,4.23,47.7,2.5,2,10.67,7.16,83.72,0.86,-1.771956842,0.875468737,1.31,-0.210721031,4.3,44.65,81.97,45.95,75.99,0.34,125.57,618.7,1272,351,610,160.2,424,0.291,-1.26940061,3.077312261,29.1,0.874,0.486
724.5,123,5.573294067,2.53,6.09,556.9,0.18,44.5,2.9,2.5,10.9,4.86,85.63,7.25,-2.040220829,0.896088025,1.38,0.277631737,3.78,49.85,82.63,42.29,75.41,0.25,104.09,403.6,878,119,395,135.9,136,0.375,-1.010601411,2.701361213,80.7,0.161,0.987
724.5,123.75,5.232711609,1.94,5.89,545.6,0.47,44,2.7,1.8,10.83,3.29,88.77,5.23,-1.966112856,1.068153081,1.32,0.2390169,4.85,45.38,78.89,42.69,72.24,0.27,108.79,393.1,864,122,381,126.6,122,0.365,-1.052683357,2.721295428,78.9,0.192,0.981
552.4,110.51,5.372496765,1.71,6.97,583,2.46,44.8,2.4,1.6,10.88,4.59,84.84,6.24,-2.120263536,1.115141591,1.45,-0.210721031,4.03,52.54,80.86,41.44,72.84,0.22,91,379.4,653,116,390,83.6,121,0.49,-0.673344553,2.312535424,238.7,-0.519,-0.855
639.5,120.88,3.906004933,1.26,6.68,567.4,7.31,46.6,2.7,1,11.99,4.45,78.48,2.29,-2.207274913,1.324418957,1.36,1.715598108,3.76,55.99,78.54,31.04,69.86,0.19,107.41,332.9,531,258,329,39.7,260,0.274,-1.347073648,1.589235205,141.1,-0.778,0.628
640.4,119.41,3.493472658,2.55,7.13,586,7.71,49,3,0.5,11.51,4.36,87.57,1.42,-2.120263536,1.678963975,1.35,0.824175443,4.23,53.78,78.3,31.77,69.8,0.2,107.79,264.6,491,158,269,42.7,161,0.32,-1.099612789,2.186051277,130.8,-0.653,0.757
862,131.41,5.440684608,2.33,6.6,564.4,1.19,45.5,2.3,2.6,10.96,4.28,84.6,8.11,-2.040220829,0.862889955,1.43,0.067658648,3.94,46.84,81.81,44.85,74.51,0.25,116.05,432.1,705,132,453,103,144,0.524,-0.579818495,2.517696473,112.3,-0.38,0.925
